Weather,Road_Type,Time_of_Day,Traffic_Density,Speed_Limit,Number_of_Vehicles,Driver_Alcohol,Accident_Severity,Road_Condition,Vehicle_Type,Driver_Age,Driver_Experience,Road_Light_Condition,Accident
Rainy,City Road,Evening,2.0,50.0,1.0,0.0,Medium,Wet,Car,36.0,13.0,Dawn/Dusk,1.0
Cloudy,City Road,Evening,2.0,60.0,3.0,0.0,Low,Dry,Car,30.0,1.0,Artificial Light,1.0
Rainy,Rural Road,Afternoon,1.0,80.0,3.0,0.04,High,Wet,Car,22.0,3.0,Dawn/Dusk,1.0
Clear,Highway,Morning,1.0,80.0,1.0,0.08,Low,Dry,Bus,73.0,49.0,Daylight,0.0
Cloudy,City Road,Afternoon,3.0,60.0,1.0,0.0,High,Dry,Truck,38.0,19.0,Daylight,0.0
Rainy,Rural Road,Afternoon,2.0,80.0,5.0,0.0,High,Wet,Motorcycle,57.0,35.0,Daylight,1.0
Clear,City Road,Night,1.0,30.0,3.0,0.0,Medium,Under Construction,Truck,21.0,2.0,Artificial Light,1.0
Clear,City Road,Afternoon,1.0,50.0,5.0,0.0,High,Dry,Motorcycle,53.0,24.0,Daylight,0.0
Clear,Intersection,Evening,1.0,30.0,1.0,0.0,Medium,Under Construction,Car,63.0,41.0,Daylight,1.0
Foggy,City Road,Morning,2.0,60.0,3.0,0.0,High,Dry,Car,22.0,1.0,Daylight,1.0
Clear,Rural Road,Night,1.0,60.0,3.0,0.0,High,Dry,Car,41.0,14.0,Dark,1.0
Snowy,Highway,Evening,4.0,100.0,2.0,0.0,High,Icy,Car,64.0,27.0,Dawn/Dusk,1.0
Clear,Rural Road,Evening,1.0,80.0,1.0,0.0,Low,Under Construction,Car,30.0,10.0,Daylight,0.0
Rainy,City Road,Morning,3.0,50.0,3.0,0.06,High,Wet,Car,47.0,17.0,Dawn/Dusk,1.0
Clear,Rural Road,Morning,2.0,60.0,2.0,0.14,High,Dry,Car,62.0,7.0,Daylight,0.0
Clear,City Road,Afternoon,2.0,30.0,3.0,0.13,High,Dry,Car,55.0,34.0,Daylight,0.0
Clear,Highway,Afternoon,3.0,80.0,2.0,0.0,Medium,Dry,Car,69.0,41.0,Daylight,0.0
Cloudy,City Road,Night,1.0,60.0,4.0,0.0,High,Dry,Car,64.0,11.0,Artificial Light,0.0
Rainy,Rural Road,Morning,1.0,60.0,1.0,0.0,Low,Wet,Truck,62.0,35.0,Daylight,0.0
Clear,Rural Road,Night,1.0,80.0,2.0,0.0,Medium,Under Construction,Car,68.0,32.0,Artificial Light,1.0
Clear,Intersection,Afternoon,2.0,30.0,4.0,0.0,High,Dry,Car,62.0,18.0,Daylight,1.0
Foggy,Highway,Evening,4.0,100.0,1.0,0.0,Fatal,Wet,Truck,48.0,8.0,Artificial Light,1.0
Rainy,City Road,Afternoon,1.0,40.0,5.0,0.0,Medium,Icy,Car,43.0,4.0,Daylight,1.0
Clear,Highway,Morning,2.0,80.0,3.0,0.0,Medium,Dry,Motorcycle,64.0,31.0,Daylight,0.0
Clear,Highway,Evening,4.0,80.0,5.0,0.0,Medium,Dry,Truck,34.0,8.0,Dawn/Dusk,0.0
Cloudy,Highway,Morning,1.0,100.0,5.0,0.0,Low,Dry,Truck,65.0,41.0,Daylight,0.0
Cloudy,Highway,Evening,3.0,120.0,1.0,0.0,High,Dry,Van,42.0,7.0,Dawn/Dusk,1.0
Clear,City Road,Afternoon,2.0,30.0,1.0,0.0,Medium,Dry,Bus,73.0,18.0,Dawn/Dusk,1.0
Rainy,Rural Road,Evening,1.0,80.0,1.0,0.0,Low,Wet,Car,24.0,3.0,Artificial Light,0.0
Clear,Highway,Morning,2.0,120.0,3.0,0.0,Low,Dry,Car,49.0,19.0,Daylight,1.0
Rainy,City Road,Afternoon,1.0,30.0,1.0,0.0,Fatal,Wet,Truck,26.0,5.0,Daylight,0.0
Clear,City Road,Night,1.0,50.0,3.0,0.0,Medium,Dry,Car,44.0,24.0,Artificial Light,0.0
Cloudy,Rural Road,Afternoon,2.0,80.0,3.0,0.0,Low,Dry,Car,54.0,36.0,Daylight,0.0
Snowy,Intersection,Afternoon,1.0,30.0,2.0,0.05,Low,Icy,Bus,34.0,7.0,Daylight,0.0
Clear,Rural Road,Morning,1.0,100.0,3.0,0.0,Low,Dry,Car,37.0,19.0,Daylight,1.0
Cloudy,Highway,Afternoon,3.0,100.0,3.0,0.0,Low,Dry,Motorcycle,51.0,8.0,Daylight,1.0
Clear,Rural Road,Evening,1.0,80.0,1.0,0.0,High,Under Construction,Car,70.0,3.0,Daylight,0.0
Rainy,Highway,Evening,4.0,80.0,3.0,0.0,Low,Wet,Car,21.0,3.0,Artificial Light,1.0
Rainy,City Road,Afternoon,1.0,60.0,4.0,0.0,Medium,Wet,Car,55.0,24.0,Daylight,0.0
Clear,City Road,Night,2.0,30.0,3.0,0.07,Medium,Dry,Car,46.0,7.0,Dark,1.0
Rainy,Rural Road,Afternoon,2.0,80.0,2.0,0.0,Low,Icy,Motorcycle,51.0,28.0,Dawn/Dusk,0.0
Cloudy,City Road,Afternoon,2.0,30.0,2.0,0.0,High,Dry,Motorcycle,32.0,2.0,Daylight,0.0
Clear,Highway,Afternoon,1.0,80.0,5.0,0.0,Medium,Dry,Car,71.0,0.0,Daylight,1.0
Clear,Rural Road,Afternoon,2.0,80.0,5.0,0.0,High,Dry,Car,72.0,47.0,Daylight,0.0
Cloudy,Highway,Afternoon,4.0,120.0,4.0,0.0,Low,Dry,Motorcycle,58.0,34.0,Daylight,0.0
Clear,Rural Road,Evening,1.0,60.0,2.0,0.14,Medium,Dry,Car,23.0,2.0,Artificial Light,0.0
Clear,City Road,Afternoon,2.0,40.0,1.0,0.0,Low,Dry,Car,54.0,3.0,Daylight,0.0
Rainy,Highway,Night,3.0,80.0,2.0,0.0,Fatal,Wet,Car,68.0,31.0,Dark,1.0
Cloudy,Rural Road,Morning,1.0,80.0,5.0,0.0,Medium,Dry,Bus,74.0,19.0,Dawn/Dusk,0.0
Cloudy,Rural Road,Morning,2.0,100.0,4.0,0.15,High,Dry,Car,74.0,39.0,Daylight,1.0
Clear,City Road,Afternoon,1.0,40.0,1.0,0.0,Medium,Dry,Car,67.0,3.0,Daylight,1.0
Clear,Intersection,Afternoon,2.0,30.0,1.0,0.0,Low,Under Construction,Car,68.0,45.0,Daylight,1.0
Clear,Highway,Morning,1.0,100.0,3.0,0.0,Medium,Under Construction,Car,48.0,15.0,Daylight,0.0
Cloudy,City Road,Afternoon,3.0,40.0,5.0,0.0,Low,Dry,Truck,25.0,0.0,Daylight,0.0
Clear,Intersection,Evening,2.0,40.0,4.0,0.0,Low,Dry,Car,73.0,39.0,Artificial Light,0.0
Rainy,Rural Road,Morning,2.0,60.0,5.0,0.0,Medium,Icy,Motorcycle,23.0,5.0,Daylight,0.0
Clear,Highway,Afternoon,1.0,100.0,3.0,0.0,Fatal,Dry,Bus,50.0,21.0,Daylight,0.0
Clear,Intersection,Afternoon,2.0,30.0,4.0,0.13,Low,Under Construction,Truck,23.0,3.0,Daylight,1.0
Rainy,Rural Road,Afternoon,1.0,60.0,1.0,0.0,Low,Icy,Car,51.0,13.0,Daylight,0.0
Rainy,City Road,Morning,2.0,60.0,4.0,0.0,Medium,Icy,Car,22.0,4.0,Daylight,0.0
Clear,City Road,Evening,3.0,60.0,1.0,0.0,Low,Dry,Motorcycle,74.0,5.0,Dawn/Dusk,1.0
Clear,Rural Road,Night,1.0,60.0,3.0,0.05,Medium,Under Construction,Motorcycle,53.0,14.0,Artificial Light,1.0
Clear,Rural Road,Morning,2.0,100.0,3.0,0.0,Medium,Dry,Motorcycle,72.0,24.0,Daylight,0.0
Clear,City Road,Afternoon,2.0,60.0,4.0,0.0,Low,Dry,Car,30.0,3.0,Daylight,0.0
Rainy,City Road,Afternoon,3.0,30.0,5.0,0.04,Low,Wet,Truck,58.0,12.0,Daylight,0.0
Foggy,City Road,Night,2.0,50.0,4.0,0.0,Medium,Wet,Car,54.0,13.0,Artificial Light,0.0
Clear,Rural Road,Morning,2.0,80.0,2.0,0.0,Low,Dry,Truck,58.0,25.0,Daylight,0.0
Clear,City Road,Morning,1.0,30.0,4.0,0.02,Medium,Dry,Car,36.0,9.0,Daylight,0.0
Clear,Highway,Afternoon,3.0,100.0,3.0,0.0,Low,Dry,Car,21.0,3.0,Daylight,0.0
Clear,Highway,Morning,1.0,100.0,1.0,0.0,Low,Dry,Car,24.0,4.0,Daylight,1.0
Rainy,Rural Road,Evening,2.0,60.0,1.0,0.02,Medium,Wet,Truck,19.0,1.0,Artificial Light,1.0
Cloudy,Rural Road,Morning,2.0,60.0,4.0,0.0,Low,Dry,Car,69.0,40.0,Daylight,0.0
Snowy,Highway,Night,3.0,120.0,3.0,0.0,Low,Icy,Truck,38.0,2.0,Artificial Light,0.0
Foggy,Rural Road,Morning,2.0,60.0,5.0,0.0,Low,Dry,Truck,40.0,7.0,Daylight,0.0
Foggy,Rural Road,Evening,2.0,100.0,3.0,0.0,Medium,Dry,Car,73.0,11.0,Daylight,0.0
Rainy,Highway,Morning,1.0,80.0,4.0,0.0,Low,Wet,Car,31.0,3.0,Daylight,0.0
Clear,Highway,Afternoon,1.0,100.0,2.0,0.0,Low,Under Construction,Car,28.0,4.0,Daylight,0.0
Clear,Intersection,Morning,1.0,20.0,3.0,0.0,High,Dry,Truck,29.0,10.0,Daylight,1.0
Foggy,Rural Road,Afternoon,1.0,60.0,5.0,0.0,Medium,Dry,Car,51.0,18.0,Daylight,0.0
Snowy,Highway,Night,1.0,120.0,3.0,0.0,Low,Wet,Motorcycle,31.0,7.0,Artificial Light,1.0
Rainy,City Road,Afternoon,2.0,60.0,3.0,0.13,Low,Wet,Car,31.0,6.0,Dawn/Dusk,1.0
Rainy,Rural Road,Morning,2.0,80.0,4.0,0.0,Fatal,Wet,Car,46.0,22.0,Daylight,1.0
Clear,Rural Road,Night,2.0,60.0,5.0,0.0,Medium,Dry,Car,48.0,15.0,Artificial Light,0.0
Rainy,City Road,Afternoon,2.0,50.0,2.0,0.0,Medium,Icy,Car,45.0,22.0,Daylight,0.0
Rainy,Highway,Night,3.0,80.0,2.0,0.0,Medium,Icy,Car,59.0,24.0,Artificial Light,0.0
Clear,Highway,Evening,1.0,100.0,4.0,0.0,Low,Dry,Car,20.0,0.0,Artificial Light,1.0
Rainy,Highway,Afternoon,3.0,100.0,5.0,0.0,Medium,Icy,Car,30.0,8.0,Daylight,0.0
Rainy,Rural Road,Morning,2.0,60.0,1.0,0.0,Medium,Icy,Car,52.0,23.0,Daylight,0.0
Foggy,Rural Road,Afternoon,1.0,60.0,5.0,0.0,Low,Dry,Truck,43.0,5.0,Dawn/Dusk,1.0
Cloudy,Highway,Night,4.0,80.0,3.0,0.0,Medium,Dry,Car,65.0,27.0,Dark,1.0
Rainy,Rural Road,Evening,2.0,80.0,2.0,0.0,Low,Icy,Truck,44.0,21.0,Dawn/Dusk,0.0
Clear,Highway,Evening,1.0,80.0,5.0,0.0,Medium,Dry,Car,21.0,0.0,Daylight,0.0
Foggy,City Road,Morning,1.0,60.0,3.0,0.0,Low,Dry,Car,34.0,15.0,Dawn/Dusk,1.0
Rainy,City Road,Night,2.0,60.0,4.0,0.0,Medium,Wet,Truck,50.0,29.0,Artificial Light,1.0
Clear,Highway,Night,1.0,80.0,1.0,0.0,Medium,Dry,Car,32.0,10.0,Dark,1.0
Clear,City Road,Afternoon,1.0,50.0,5.0,0.0,Low,Dry,Car,71.0,9.0,Daylight,0.0
Rainy,Rural Road,Night,2.0,100.0,5.0,0.0,Medium,Wet,Van,60.0,27.0,Artificial Light,1.0
Snowy,Rural Road,Night,1.0,80.0,1.0,0.0,Low,Icy,Motorcycle,65.0,46.0,Dark,1.0
Cloudy,Highway,Evening,1.0,100.0,3.0,0.0,Low,Dry,Truck,54.0,6.0,Artificial Light,0.0
Clear,City Road,Night,3.0,30.0,5.0,0.0,Low,Under Construction,Truck,74.0,33.0,Artificial Light,1.0
Clear,City Road,Evening,2.0,60.0,1.0,0.0,Medium,Dry,Bus,73.0,40.0,Artificial Light,0.0
Foggy,City Road,Afternoon,1.0,60.0,4.0,0.0,Low,Dry,Car,38.0,6.0,Daylight,0.0
Clear,Highway,Morning,4.0,120.0,3.0,0.0,High,Dry,Truck,63.0,24.0,Daylight,0.0
Rainy,Intersection,Night,1.0,40.0,1.0,0.01,Low,Icy,Car,23.0,1.0,Dark,1.0
Cloudy,City Road,Afternoon,1.0,40.0,3.0,0.1,Medium,Dry,Motorcycle,32.0,13.0,Daylight,1.0
Cloudy,Rural Road,Morning,2.0,80.0,2.0,0.0,High,Under Construction,Car,33.0,8.0,Daylight,0.0
Clear,Rural Road,Night,1.0,60.0,4.0,0.0,High,Dry,Truck,47.0,24.0,Artificial Light,0.0
Clear,City Road,Morning,1.0,60.0,4.0,0.0,Low,Dry,Van,21.0,3.0,Daylight,0.0
Cloudy,Highway,Night,3.0,100.0,4.0,0.0,Low,Under Construction,Motorcycle,64.0,24.0,Dark,1.0
Foggy,Highway,Afternoon,4.0,80.0,4.0,0.0,Low,Dry,Motorcycle,56.0,36.0,Daylight,0.0
Cloudy,Rural Road,Morning,2.0,100.0,1.0,0.0,Low,Dry,Truck,41.0,19.0,Daylight,1.0
Clear,City Road,Evening,2.0,60.0,2.0,0.05,Low,Dry,Motorcycle,42.0,5.0,Artificial Light,1.0
Snowy,Rural Road,Morning,1.0,100.0,1.0,0.0,Low,Wet,Van,18.0,0.0,Daylight,1.0
Rainy,City Road,Night,3.0,60.0,5.0,0.0,Fatal,Wet,Car,23.0,0.0,Artificial Light,1.0
Cloudy,Intersection,Evening,1.0,40.0,2.0,0.0,Medium,Dry,Car,18.0,0.0,Artificial Light,1.0
Clear,City Road,Evening,1.0,50.0,5.0,0.0,High,Dry,Car,51.0,25.0,Artificial Light,1.0
Clear,Highway,Morning,3.0,100.0,4.0,0.09,Fatal,Under Construction,Car,46.0,27.0,Daylight,1.0
Clear,City Road,Evening,1.0,40.0,2.0,0.0,Medium,Dry,Car,67.0,19.0,Artificial Light,0.0
Clear,Highway,Evening,2.0,80.0,5.0,0.0,Low,Under Construction,Car,22.0,2.0,Artificial Light,1.0
Foggy,Rural Road,Morning,2.0,60.0,3.0,0.0,Medium,Wet,Car,73.0,13.0,Daylight,1.0
Clear,City Road,Afternoon,1.0,60.0,5.0,0.0,Medium,Under Construction,Car,56.0,3.0,Daylight,0.0
Clear,City Road,Afternoon,1.0,30.0,5.0,0.0,Fatal,Dry,Van,42.0,23.0,Daylight,0.0
Clear,Highway,Morning,1.0,80.0,2.0,0.0,Low,Under Construction,Car,29.0,8.0,Daylight,0.0
Cloudy,City Road,Morning,3.0,50.0,1.0,0.0,High,Dry,Car,33.0,6.0,Daylight,0.0
Clear,Rural Road,Afternoon,2.0,100.0,1.0,0.0,Low,Dry,Bus,32.0,14.0,Dawn/Dusk,0.0
Clear,City Road,Evening,1.0,40.0,4.0,0.0,Medium,Dry,Car,31.0,1.0,Artificial Light,0.0
Clear,Highway,Afternoon,1.0,100.0,2.0,0.0,Low,Dry,Car,67.0,35.0,Dawn/Dusk,0.0
Foggy,Highway,Night,2.0,80.0,1.0,0.0,Low,Dry,Car,27.0,8.0,Artificial Light,0.0
Clear,Highway,Afternoon,3.0,100.0,5.0,0.0,High,Dry,Car,34.0,2.0,Daylight,1.0
Rainy,City Road,Morning,2.0,40.0,4.0,0.0,Low,Icy,Car,74.0,19.0,Daylight,0.0
Rainy,City Road,Night,1.0,60.0,1.0,0.07,Medium,Wet,Car,65.0,41.0,Artificial Light,1.0
Cloudy,Highway,Evening,2.0,120.0,1.0,0.0,Low,Dry,Motorcycle,53.0,25.0,Dawn/Dusk,0.0
Rainy,Intersection,Night,1.0,20.0,2.0,0.0,Fatal,Icy,Car,61.0,11.0,Dark,1.0
Foggy,City Road,Morning,1.0,40.0,4.0,0.0,Low,Dry,Truck,22.0,4.0,Daylight,1.0
Clear,Highway,Morning,2.0,120.0,5.0,0.1,High,Dry,Car,19.0,0.0,Daylight,1.0
Clear,Highway,Night,2.0,80.0,2.0,0.06,Low,Dry,Motorcycle,48.0,0.0,Artificial Light,0.0
Cloudy,Highway,Night,2.0,120.0,1.0,0.0,High,Dry,Car,39.0,15.0,Artificial Light,0.0
Clear,City Road,Morning,1.0,30.0,4.0,0.0,Low,Dry,Bus,67.0,16.0,Daylight,1.0
Snowy,City Road,Evening,2.0,30.0,1.0,0.0,Low,Wet,Car,20.0,0.0,Dawn/Dusk,1.0
Rainy,City Road,Afternoon,3.0,40.0,2.0,0.0,Medium,Wet,Car,28.0,6.0,Dawn/Dusk,1.0
Clear,City Road,Evening,1.0,30.0,1.0,0.0,Low,Dry,Car,62.0,6.0,Daylight,0.0
Rainy,Highway,Morning,2.0,80.0,5.0,0.0,High,Wet,Car,23.0,4.0,Daylight,1.0
Rainy,Rural Road,Afternoon,2.0,60.0,4.0,0.0,Low,Wet,Truck,38.0,8.0,Daylight,1.0
Rainy,Intersection,Evening,2.0,40.0,2.0,0.0,Medium,Wet,Car,34.0,14.0,Daylight,1.0
Clear,Rural Road,Evening,2.0,100.0,5.0,0.0,Medium,Dry,Car,53.0,32.0,Daylight,0.0
Foggy,Intersection,Afternoon,1.0,30.0,3.0,0.14,Low,Dry,Car,25.0,2.0,Daylight,1.0
Foggy,Highway,Morning,1.0,80.0,2.0,0.0,Medium,Dry,Car,70.0,29.0,Daylight,0.0
Rainy,City Road,Afternoon,1.0,30.0,5.0,0.02,Medium,Wet,Car,22.0,3.0,Daylight,1.0
Clear,Rural Road,Evening,1.0,100.0,5.0,0.0,High,Dry,Car,30.0,8.0,Artificial Light,1.0
Rainy,Intersection,Night,1.0,20.0,2.0,0.0,Medium,Icy,Car,61.0,25.0,Dark,1.0
Clear,Highway,Night,3.0,100.0,4.0,0.0,Medium,Dry,Van,31.0,2.0,Artificial Light,1.0
Clear,City Road,Morning,3.0,30.0,5.0,0.0,Low,Under Construction,Truck,60.0,19.0,Daylight,0.0
Foggy,Highway,Afternoon,3.0,80.0,4.0,0.0,Medium,Wet,Car,30.0,10.0,Dawn/Dusk,0.0
Clear,City Road,Evening,2.0,40.0,2.0,0.06,Medium,Dry,Car,45.0,24.0,Artificial Light,1.0
Cloudy,Highway,Morning,1.0,80.0,1.0,0.0,Medium,Dry,Car,35.0,17.0,Daylight,0.0
Foggy,Intersection,Evening,1.0,40.0,1.0,0.0,Medium,Dry,Bus,35.0,13.0,Dawn/Dusk,0.0
Clear,Highway,Night,1.0,120.0,3.0,0.0,Low,Dry,Truck,24.0,0.0,Dark,1.0
Clear,City Road,Afternoon,3.0,50.0,5.0,0.03,Low,Dry,Car,58.0,7.0,Dawn/Dusk,0.0
Clear,Highway,Evening,4.0,100.0,1.0,0.13,Medium,Under Construction,Car,46.0,18.0,Artificial Light,1.0
Rainy,Highway,Night,1.0,80.0,1.0,0.0,High,Icy,Truck,59.0,41.0,Artificial Light,1.0
Clear,Highway,Night,1.0,80.0,4.0,0.0,Medium,Dry,Car,58.0,34.0,Artificial Light,1.0
Foggy,Intersection,Evening,2.0,30.0,3.0,0.0,Low,Wet,Car,72.0,8.0,Artificial Light,1.0
Clear,City Road,Morning,1.0,30.0,3.0,0.0,Medium,Dry,Motorcycle,38.0,8.0,Dawn/Dusk,0.0
Rainy,City Road,Night,3.0,30.0,5.0,0.0,Low,Wet,Truck,45.0,27.0,Artificial Light,1.0
Cloudy,Rural Road,Evening,2.0,100.0,5.0,0.0,Fatal,Under Construction,Car,35.0,6.0,Daylight,1.0
Cloudy,City Road,Evening,1.0,60.0,3.0,0.0,Low,Dry,Car,49.0,23.0,Artificial Light,1.0
Foggy,Highway,Evening,3.0,100.0,5.0,0.0,Low,Dry,Car,39.0,19.0,Daylight,0.0
Rainy,Rural Road,Afternoon,1.0,60.0,4.0,0.0,Fatal,Icy,Car,47.0,14.0,Daylight,0.0
Cloudy,City Road,Night,1.0,60.0,4.0,0.0,Low,Dry,Truck,55.0,37.0,Dark,0.0
Rainy,City Road,Afternoon,1.0,60.0,3.0,0.14,High,Wet,Truck,53.0,12.0,Daylight,1.0
Rainy,City Road,Afternoon,1.0,40.0,3.0,0.0,Medium,Icy,Car,70.0,38.0,Daylight,1.0
Foggy,Highway,Morning,1.0,100.0,2.0,0.0,Low,Wet,Truck,41.0,17.0,Daylight,0.0
Rainy,Intersection,Afternoon,1.0,20.0,1.0,0.0,Low,Wet,Car,29.0,2.0,Daylight,0.0
Rainy,City Road,Night,3.0,60.0,5.0,0.02,High,Wet,Car,22.0,4.0,Artificial Light,1.0
Clear,Highway,Evening,4.0,120.0,2.0,0.0,Low,Dry,Car,66.0,2.0,Artificial Light,1.0
Clear,Rural Road,Morning,2.0,60.0,5.0,0.0,Low,Dry,Car,25.0,3.0,Daylight,1.0
Clear,City Road,Morning,1.0,60.0,4.0,0.09,High,Dry,Car,55.0,2.0,Daylight,1.0
Foggy,Rural Road,Afternoon,1.0,100.0,4.0,0.0,Medium,Dry,Car,74.0,39.0,Daylight,0.0
Foggy,City Road,Afternoon,3.0,40.0,5.0,0.0,Medium,Dry,Car,54.0,15.0,Daylight,1.0
Rainy,City Road,Morning,1.0,50.0,3.0,0.0,Medium,Wet,Car,71.0,15.0,Daylight,0.0
Cloudy,Highway,Morning,3.0,100.0,4.0,0.14,Fatal,Dry,Car,49.0,13.0,Daylight,1.0
Rainy,Highway,Evening,3.0,120.0,4.0,0.0,Low,Wet,Car,62.0,9.0,Dawn/Dusk,0.0
Foggy,City Road,Afternoon,2.0,50.0,1.0,0.0,High,Wet,Bus,37.0,4.0,Dawn/Dusk,1.0
Rainy,City Road,Afternoon,3.0,60.0,3.0,0.0,High,Icy,Bus,60.0,21.0,Daylight,1.0
Rainy,City Road,Afternoon,1.0,60.0,5.0,0.0,Low,Icy,Truck,38.0,9.0,Daylight,1.0
Clear,City Road,Evening,2.0,30.0,3.0,0.0,Medium,Under Construction,Car,25.0,2.0,Artificial Light,1.0
Foggy,Highway,Morning,2.0,80.0,3.0,0.0,High,Dry,Car,33.0,11.0,Daylight,1.0
Clear,Intersection,Evening,1.0,20.0,5.0,0.0,High,Dry,Truck,73.0,24.0,Artificial Light,0.0
Clear,City Road,Afternoon,1.0,40.0,5.0,0.0,Low,Dry,Truck,70.0,8.0,Dawn/Dusk,0.0
Rainy,Rural Road,Night,1.0,80.0,1.0,0.0,Low,Wet,Car,35.0,15.0,Artificial Light,0.0
Foggy,Highway,Morning,3.0,120.0,5.0,0.0,Low,Dry,Car,40.0,13.0,Daylight,1.0
Rainy,City Road,Evening,3.0,30.0,1.0,0.0,Medium,Icy,Truck,51.0,2.0,Daylight,0.0
Cloudy,City Road,Morning,1.0,40.0,2.0,0.0,High,Dry,Van,49.0,18.0,Daylight,1.0
Rainy,Highway,Evening,1.0,80.0,1.0,0.0,Medium,Wet,Truck,38.0,1.0,Artificial Light,1.0
Foggy,Intersection,Afternoon,1.0,30.0,4.0,0.0,High,Wet,Car,21.0,0.0,Daylight,1.0
Clear,City Road,Evening,2.0,60.0,5.0,0.0,Low,Dry,Car,19.0,1.0,Daylight,0.0
Clear,Intersection,Afternoon,2.0,20.0,3.0,0.0,Low,Dry,Car,64.0,8.0,Daylight,0.0
Cloudy,Highway,Night,4.0,100.0,5.0,0.0,Low,Dry,Car,57.0,7.0,Dark,1.0
Snowy,Highway,Evening,1.0,80.0,4.0,0.0,Fatal,Icy,Car,64.0,7.0,Artificial Light,1.0
Snowy,Intersection,Morning,1.0,40.0,3.0,0.0,Low,Wet,Bus,68.0,4.0,Daylight,0.0
Clear,Highway,Night,2.0,80.0,2.0,0.0,Medium,Under Construction,Car,45.0,12.0,Dark,1.0
Foggy,City Road,Morning,3.0,60.0,3.0,0.0,High,Dry,Motorcycle,60.0,14.0,Daylight,1.0
Rainy,Highway,Afternoon,2.0,80.0,1.0,0.0,Medium,Icy,Motorcycle,52.0,28.0,Daylight,1.0
Clear,Rural Road,Evening,1.0,100.0,1.0,0.02,High,Dry,Bus,18.0,0.0,Dawn/Dusk,1.0
Clear,Highway,Morning,3.0,100.0,4.0,0.0,Low,Dry,Car,57.0,9.0,Daylight,1.0
Clear,City Road,Morning,3.0,50.0,5.0,0.0,Medium,Under Construction,Truck,63.0,37.0,Daylight,0.0
Rainy,Rural Road,Night,2.0,100.0,2.0,0.0,High,Wet,Truck,33.0,11.0,Artificial Light,0.0
Clear,Highway,Afternoon,2.0,120.0,3.0,0.0,High,Dry,Car,47.0,14.0,Daylight,1.0
Clear,City Road,Evening,1.0,40.0,5.0,0.0,Low,Dry,Car,51.0,2.0,Artificial Light,0.0
Clear,Highway,Afternoon,4.0,120.0,4.0,0.0,Low,Dry,Truck,29.0,2.0,Daylight,1.0
Foggy,Rural Road,Night,2.0,80.0,4.0,0.0,Low,Wet,Truck,66.0,14.0,Artificial Light,1.0
Clear,Highway,Afternoon,1.0,80.0,4.0,0.0,Low,Dry,Car,55.0,37.0,Daylight,0.0
Foggy,Intersection,Evening,2.0,40.0,2.0,0.0,Low,Dry,Van,64.0,6.0,Artificial Light,0.0
Rainy,City Road,Afternoon,1.0,30.0,1.0,0.0,Low,Wet,Car,58.0,38.0,Daylight,0.0
Clear,Intersection,Morning,2.0,30.0,3.0,0.0,Low,Under Construction,Car,68.0,50.0,Daylight,1.0
Cloudy,City Road,Evening,2.0,50.0,2.0,0.0,Medium,Dry,Van,26.0,3.0,Dawn/Dusk,1.0
Clear,City Road,Morning,3.0,40.0,2.0,0.0,Low,Dry,Motorcycle,30.0,3.0,Daylight,0.0
Rainy,Rural Road,Evening,1.0,60.0,1.0,0.0,Low,Icy,Car,35.0,5.0,Daylight,0.0
Rainy,Highway,Night,3.0,80.0,3.0,0.0,Fatal,Wet,Car,68.0,10.0,Dark,1.0
Rainy,Rural Road,Evening,1.0,80.0,4.0,0.02,Low,Icy,Car,24.0,0.0,Daylight,1.0
Cloudy,Highway,Night,4.0,120.0,4.0,0.0,Low,Under Construction,Car,34.0,4.0,Dark,0.0
Rainy,City Road,Morning,2.0,60.0,4.0,0.0,Medium,Wet,Bus,61.0,32.0,Daylight,0.0
Clear,City Road,Evening,3.0,60.0,3.0,0.0,Low,Dry,Bus,66.0,38.0,Artificial Light,1.0
Rainy,Highway,Evening,3.0,120.0,4.0,0.0,Medium,Wet,Van,60.0,25.0,Artificial Light,1.0
Rainy,City Road,Evening,1.0,50.0,4.0,0.0,Low,Wet,Car,46.0,1.0,Daylight,1.0
Clear,City Road,Afternoon,3.0,30.0,3.0,0.0,Low,Dry,Car,42.0,16.0,Daylight,0.0
Rainy,Highway,Night,3.0,100.0,2.0,0.0,Low,Icy,Car,37.0,14.0,Dark,0.0
Rainy,Highway,Night,2.0,100.0,4.0,0.0,Low,Icy,Motorcycle,27.0,6.0,Artificial Light,1.0
Rainy,City Road,Morning,2.0,30.0,5.0,0.0,Low,Icy,Truck,53.0,12.0,Daylight,1.0
Clear,Intersection,Night,2.0,40.0,5.0,0.0,Fatal,Dry,Truck,45.0,26.0,Artificial Light,1.0
Snowy,Rural Road,Morning,2.0,60.0,2.0,0.0,Medium,Wet,Car,29.0,7.0,Daylight,1.0
Foggy,Intersection,Night,1.0,40.0,2.0,0.0,Medium,Wet,Car,38.0,9.0,Artificial Light,1.0
Rainy,Highway,Afternoon,3.0,100.0,2.0,0.0,High,Wet,Car,65.0,46.0,Daylight,1.0
Cloudy,Highway,Afternoon,4.0,120.0,1.0,0.0,Fatal,Dry,Car,36.0,9.0,Daylight,0.0
Cloudy,Highway,Afternoon,3.0,80.0,4.0,0.0,Low,Dry,Truck,55.0,3.0,Daylight,0.0
